"Blue writing finviz / Green writing Yahoo/  Green over ticker means i am on bullish watch, Yellow menas im not touching it, red means i am on sales watch",,,,,Fundementals,,,,PE Ratios ,,,,,,,PS Ratios,,,Results,,,,,,,,,Buffets 5 Rules Of Thumb (Balance Sheet),,,,,,,,,,,Buffets 7 Rules Of Thumb (Income Statement),,,,,,,,,,,,,,,,,,,5 More Rules Of Thumb,,,,,,,,,
,,,,,,,,,,Finviz,Stock price/EPS,Finviz,Formula,Finviz,Finviz,Stock Price/ Forward sales per share,Stock Market Cap/Rev,,,,,,,,,,,Cash v Debt                                                                                                                          ,,, Debt to Equity                                                                                                                                                                                                                                                                                                                         ,,,Preferred Stock                                                                                                                                                                                                ,Retained Earnings Growth                                                                                                      ,,, Tressury Stock. ,Gross Margins,,,Selling General & Administrative Margin,,,Research & Development Margin,,,Interest Expense Margin,,,Income Tax Margin,,,Profit Margin,,,EPS,Cash flow from Operating Activities,Cash flow From Investing Activities,Financing Cashflow,End cash position,Free Cashflow,5 important numbers to compare with previous earnings,,,,
,,,,,,,,,,Forecasted Earnings Per Share,Price to Earnings ratio based on trailing earnings,Price to earnings ratio based on forecasted earnings,Implied P/E based on future price estimates,Average forward P/E for the industry,Average forward P/E for the country,Price to sales ratio based on forecasted sales,Price to sales ratio based on current sales,,,,,,,,,,, (Cah & Casg Equivelents >Debt) Must have more cash than Debt.,,,(Total Liabilities/Shareholders Equity) Must be below 0.8,,,(Preferred stock = 0) The company must have 0 preffered stock on its balance sheet,  (Year 2 Retained Earn./ Year 1) This number must consistantly grow especialy in reccessions,,,The company should have tressury stock,Gross Profit / Revenue (Needs to be over 40%),,,SG & A Expense/total revenue should be under 30%,,,R&D Expense / Gross Profit (needs to be under 30%),,,Interest Expense /OPerating Income (Needs to be nicly under 15%),,,Income Tax/Pre Tax Income (needs to equal about 20%),,,Net Income/ Revenue,,,EPS (Consistantly Posative),,,,,,,,,,
Sector,Industry,DATE,STOCK,Country,Quarter,CEO,Market Cap,Upgrades Downgrades,Stock price,Forward EPS,Current PE RATIO,Stocks Forward PE Ratoi,Pe ratio future Price ,IND Forward PE ratio,Country forward PE Ratio,Forward PS Ratio,Current PS ratio,,EBITDA,EV / EBITDA Ratio ,Net debt/ EBITDA,EPS,Consensus,Rev,Consensus,Future Guidance,ROE,True Cash,Total Debt,Net Debt,Total Liabilities net min int.,Total Stockholders Equity,Debt to Equity Ratio,Preffered Stock,Retained Earnings Q2,Retained Earnings Q1,Growth / Loss, Tressury Share Number,Gross Profit  ,Total Revenue,Gross Margin,SG&A Expense,Total Revenue,Margin,R& D Expences,Gross Profit,Margin,Interest Expense,Operating Income,Margin,Income Tax,Pre Tax Income,Margin,Net Income ,Revenue,Margin,EPS,Operational Cashflow,Investing Cashflow,Financing Cashflow,End cash position,Free Cashflow,Net Cash provided by (used in) operating activiies,Purchase of property & equiptment (capital Expenditure),Net Debt, Tressury Share Number,Non Cash (stock based compensation)
,,29/10/25,ALB,USA,3,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23/7/25,FCX,USA,2,Kathleen L. Quirk,59.35 B ,,$44.98,2.43,34.07576,15.83,$38.47,$21.56,$22.40,,,,,8.48,#DIV/0!,1.32,,,,,,,,0,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,0,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,0,#DIV/0!,1.32,,,,,,0,,0,$0.00,
,,22/10/25,FCX,USA,3,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLK,Semiconductors,27/8/25,NVDA,USA,2,Jensen Huang,4431.04B,175-210,$175.00,5.98,50.93,28.86,$172.58,$25.94,$22.40,,26.89,,"90,968,000.00",44.08,0.00,1.04,1.01,46.74,46.05,210-250,109.42%,,,3.75,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,0,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,0,#DIV/0!,1.04,,,,,,0,,3.75,$0.00,
,,,,USA,3,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28/8/25,MRVL,USA,2,Matt Murphy,55.37b,78-124,$70.00,1.77,104.47761,19.01,$33.65,$25.94,$22.40,,10.31,,"1,063,600.00",33.30,0.00,0.67,0.67,2.01,2.01,78-124,-0.75%,,,-3.35,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,,0,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,0,#DIV/0!,0.67,,,,,,0,,-3.35,$0.00,
,,,MRVL,USA,3,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25/6/25,MU,USA,3,Sanjay Mehrotra,105.7,"JPM, UBS (JUNE TO $155)",$128.00,12.12,76.19048,8.91,$107.99,$25.94,$22.40,,,,"16,153,000.00",7.65,-0.37,1.68,1.46,9.38B,8.86,"Overall, Micron’s future guidance centers on continued growth powered by AI demand, technology innovation, and expanding capacity, balanced by cyclical semiconductor market risks such as supply constraints and demand fluctuations.",13.11%,"10,163,000","16,141,000","-5,978,000","27,649,000","50,748,000",0.5,0,"45,559,000","43,839,000",1.04,"$144,000","3,508,000","9,301,000",37.72%,"318,000","9,301,000",3.42%,"965,000","3,508,000",27.51%,"123,000","2,169,000",5.67%,"2,181,000","2,113,000",103.22%,"1,885,000","9,301,000",20.27%,1.68,"4,609,000","-2,589,000","540,000","10,169,000","121,000","4,609,000","-2,938,000","-5,978,000","$144,000","833,000"
,,23/9/25,MU,USA,4,Sanjay Mehrotra,180.97,173-200,$160.00,14.94,21.33000,9.34,$139.54,$26.85,$22.40,4.00,5.53,,"18,483,000.00",10.17,0.00,3.03,2.45,11.32,10.65,173-200,17.20%,,,,,,,,,"45,559,000",,,,,,,,,,,,,,,,,,,,,3.03,,,,,,,,0,$0.00,
,,,MU,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
