,,,XLB,,,,XLK,,,,,,,XLC,,,XLY,,,,XLV,,,XLI,,,XLE,,,,XLF,,,XLP,,,
Date      Complete if flagged up,Agricultural Inputs,Copper,Gold,Silver,Speciality Chemicals,Steal,Communication Equipment,Computer Hardware ,Consumer Electronics,Information Technology Services,Semiconductors,Software App.,Software Infra.,Gaming,Entertainment,Internet Content & Info,Auto Manufacturing,Home Improvement Retail,Internet Retail,Restaurants,Biotechnology,Drug Manufacturers General,Medical Devices,Aerospace,Airlines,Speciality Industrial Machinery,E&P,Epuipment & Services,Intergrated,Midstream,Bank Diversified,Capital Markets,Credit Services,Beverages-Non-Alcoholic,Discount Stores,Household & Personel Products,Tobacco
,CTVA,FCX,NEM,,"SHW, LIN",,CSCO,DELL,AAPL,IBM,"ARM, MU, NVDA","CRM, SNOW","ADBE, AFRM, XYZ, CRWD, MSFT",,"NFLX, DIS, ","GOOG, META, SPOT","GM, TSLA",HD,AMZN,MCD,"JnJ, LLY","ABBV, MRK",ABT,"BA, RTX","DAL, UAL",,COP,SLB,"XOM, CVX",OKE,"BRK, JPM","GS, MS",V,KO,"WMT, COST","HIMS, PG",PM
27/8/25,2.52,4.2,5.33,6.57,1.03,2.5,4.41,3.62,1.85,1.39,3.63,0.82,0.74,2.71,1.21,2.14,4.99,1.34,2.08,-0.54,1.59,0.25,-0.25,2.42,3.21,2.44,4.26,5.44,3.12,0.7,2.26,2.21,2.13,-3.46,-5.4,-1.51,-3.9
29/8/25,0.47,0.33,4.38,3.89,-1.14,-1.03,2.42,2.07,1.65,0.44,-1.27,0.8,-0.25,3.32,-0.15,0.95,-1.88,-1.73,0.41,-0.57,-1.77,-0.63,-0.79,1.36,0.14,-0.65,2.34,1.71,1.28,1.24,1.18,0.01,0.86,-2.26,-0.68,-1.12,-2.21
2/9/25,-0.3,1.43,6.56,8.51,-1.08,-2.96,1.13,1.6,0.88,0.31,-3.07,0.41,-0.13,1.48,-0.32,-0.19,3.16,-0.55,-0.48,0.6,0.96,1.43,0.04,1.28,0.27,-1.6,2.55,1.16,1.46,1.11,1.12,-0.54,0.7,-0.02,0.81,1.07,-1.05
3/9/25,-2.69,3.65,5.16,5.89,-1.79,-1.99,0.06,2.24,3.66,0.29,-3.94,1.3,-0.1,1.75,-0.18,5.29,2.14,0.18,-0.26,0,-0.11,0.54,-0.27,-1.43,-0.32,-3.35,-0.49,-0.08,-0.18,0.63,-0.21,-1.86,-0.1,0.56,2.06,1.57,-1.98
4/9/25,-2.96,4.85,4.44,0.87,-1.65,-1.01,1.44,4.64,3.84,-1.5,-3.2,-0.46,-0.59,1.47,1.55,6.71,3.5,1.2,2.92,-0.15,0.65,0.2,0.67,-0.42,-0.88,-1.44,-0.55,1.55,-1.02,0.37,0.99,0.03,0.71,-0.41,2.76,1.51,-1.45
5/9/25,-3.46,5.56,7.64,2.99,-1.04,0.96,-0.46,1.94,2.85,-1.15,-2.63,-1.01,-2.59,-0.55,0.66,6.31,2.58,3.37,1.54,-1.02,3.36,0.71,1.21,-1.01,-1.52,-2.07,-4.02,-1.06,-3.31,-0.95,-0.94,-2.84,-1.44,-0.43,2.99,2.09,-1.33
8/9/25,-1.81,6.49,6.24,1.79,-0.06,0.2,0.19,3.78,2.55,-0.01,1.97,0.35,-0.32,3.62,2.46,6.45,2.5,3.96,3.03,-1.98,0.82,0.06,0.77,-0.35,-1.57,0.09,-4.97,-1.62,-3.47,-1.86,-0.61,-0.5,-2.07,-2.71,3.94,0.73,-2.12
10/9/25,0.44,-0.25,5.02,-2.45,-0.57,1.2,3.07,7.79,-4.41,0.52,8.32,-0.79,4.77,3.1,0.99,3.03,-0.03,1.7,2.5,-3.51,-1.43,-0.38,-1.16,1.13,-2.53,3.58,0.12,2.95,0.95,0.26,1.64,2.93,-2.24,-2.31,0.66,-1.37,1.08
11/9/25,0.9,2.51,7.45,9.72,1.39,1.89,2.04,6.63,-3.66,2.1,6.74,1.07,3.77,5.57,-0.92,2.25,0.05,2.98,0.43,-2.53,0.1,1.28,-0.48,0.79,0.07,2.6,-1.17,0.07,0.38,0.79,1.43,3.81,-1.45,-1.09,1.22,-0.99,2.95
12/9/25,1.87,0.51,4.29,11.01,0.08,-1.4,0.89,2.6,-1.97,0.69,6.16,-0.8,5.27,6.85,-0.59,1.68,8.05,0.85,0.3,-2.76,-3.66,0.1,-1.37,0.5,-1.44,1.92,0.22,0.18,1.78,1.29,3.02,5.9,-0.76,-1.14,1.69,-1.47,1.74
17/9/25,-1.32,2.77,0.1,6.79,0.2,1.16,0.38,3.29,5.21,2.47,-2.53,1.08,0.36,4.53,1.16,3.96,0.49,0.84,2.46,-0.22,0.46,0.05,-0.53,0.65,-1.75,-0.84,0.47,-1.88,0.73,0.88,2.42,2.64,2.89,-0.27,2.51,0.74,-0.03
18/9/25,-2.04,0.25,-1.01,-2.79,-2.24,-1.56,1.04,4.05,3.4,1.83,0.43,0.64,1.59,1.75,0.35,4.63,-0.32,-1.53,1.4,-2.16,0.46,-0.86,-1.58,1.47,-2.86,-0.46,-0.03,-1.1,0.62,0.65,1.75,2.27,0.38,-1.86,0.13,-1.56,-3.76
19/9/25,-2.74,2.33,4.53,2.32,-1.53,-0.11,2.43,9.33,4.68,2.43,-0.19,3.05,3.19,0.59,1.49,4.79,5.78,-1.93,1.95,-1.12,1.1,0.3,-1.32,2.1,-1.65,0.83,-1.08,-0.65,-0.22,-0.28,2.46,3.23,1.72,-1.14,-1.35,-1.59,-2.42
22/9/25,-0.62,0.48,5.65,14,-1.06,-0.74,1.23,5.39,7.86,3.95,1.48,3.02,2.28,-0.14,0.68,0.47,-1.06,-3.12,-0.49,-0.14,3.2,0.87,0.27,1.57,-0.91,0.85,-0.4,0.36,-0.6,-0.22,1.72,3.14,1.36,-0.45,-1.26,-2.8,-1.27
23/9/25,-0.62,1.02,7.77,16.13,-0.76,-1.93,2.06,5.92,6.66,2.97,1.51,2.01,1.41,-1.32,0.86,-1.01,0.95,-2.98,-3.95,-0.66,1.8,0.18,-0.28,2.22,0.21,0.86,-1.41,1.48,-0.65,0.94,1.72,2.86,-0.32,0.16,-0.97,-2.97,-0.9
24/9/25,1.24,0.26,5.24,13.29,-2.09,-1.23,-0.15,3.16,5.33,1.02,3.05,0.98,1.09,-3.51,-1.25,-1.48,1.88,-2.43,-2.9,-0.75,1.91,-0.97,-0.83,1.76,-2.35,0.83,0.88,3.29,0.61,1.49,0.73,0.93,-2.22,-0.95,-1.61,-4.29,-2.81
25/9/25,-1.31,-2.64,5.97,18.17,-3.01,-0.41,-1.41,-0.51,7.55,1.94,0.28,-2.12,-0.76,-2,-0.18,-3.14,-2.34,-3.1,-3.4,-0.07,-2.09,-3.37,-2.04,0.17,-4.45,-1.92,2.18,3.01,1.7,1.09,-0.06,-0.87,-2.03,-0.89,-0.88,-3.81,-0.05
26/9/25,-0.16,-4.13,3.01,14.73,-2.13,1.2,-1.52,-3.13,3.93,4.79,0.6,-1.98,-2.56,1.2,-0.79,-3.69,2.34,-1.9,-3.12,0.58,0.2,-2.35,-1.4,1.05,-3.65,-1.61,5.51,5.42,3.7,2.42,0.19,-1.01,-1.99,-0.97,-0.72,-2.77,0.12
29/9/25,-0.29,-1.56,1.29,2.34,-1.42,0.33,-0.94,-1.32,-0.71,4.05,-0.86,-1.72,-2.54,4.03,-0.49,-3.08,0.25,-1.73,-0.45,0.32,-0.38,-1.64,-1.85,0.53,-1.99,-2.28,3.06,4.73,1.22,1.81,0.21,1.32,-1.62,0.39,-0.64,-0.41,0.48
30/9/25,0.27,1.01,1.76,3.91,-0.45,0.44,-0.23,0.43,-0.07,6.47,1.76,-1.67,-0.72,4.27,-0.34,-3.14,-0.39,-2.02,0.64,-0.21,0.73,2.19,-0.62,1.33,-3.13,-0.19,0.51,0.04,-1.43,0.77,0.11,0.8,-1.09,-0.02,-0.22,-0.3,-0.13
1/10/25,-7.39,3.39,5.59,7.72,-0.88,2.24,2.33,6.41,1.22,4.21,2.88,-1.81,0.49,4.2,-1.67,-2.69,1.65,-3.32,0.22,-0.39,1.81,8.65,-0.77,2.32,-3.11,0.32,-0.25,0.72,-2.57,-0.95,-0.84,0.09,-0.28,0.91,-1.57,-0.65,-0.3
15/10/25,-3.02,-0.87,3.37,6.11,-2.4,-1.77,0.88,-2.89,-3.36,-9.2,-2.28,-3.13,-1.53,1.81,-0.57,1.36,-1.64,1.29,-5.03,2.92,0.26,-1.56,-1.84,-3.53,3.81,-0.53,-5.15,-5.15,-2.13,-2.86,0.62,-0.31,-1.36,3.6,5.36,-0.55,0.24
16/10/25,-5.06,0.06,12.13,15.52,-1.47,-2.23,-0.15,-3.19,-2.69,-12.1,-2.25,-3.28,-1.81,1.24,-2.56,1.16,0.89,2.83,-5.65,3.25,0.65,-1.9,-1.32,-2.41,1.11,-0.91,-5.33,-3.59,-1.9,-2.53,-0.28,-3.05,-3.2,3.12,2.48,-0.03,-0.89
